setting,duration,pooling,pooling_display,map,macro_pr_auc,macro_roc_auc
dur_0.5_attention,0.5,attention,heuristic_attention,0.5397465425907669,0.5304589658972183,0.8797903935865109
dur_0.5_max,0.5,max,max,0.5524550898601874,0.5438541329292689,0.8720961110134918
dur_0.5_mean,0.5,mean,mean,0.5401872557828047,0.5310909646973616,0.8798616137925299
dur_1.0_attention,1.0,attention,heuristic_attention,0.5815505020106666,0.572443275705502,0.897057638455105
dur_1.0_max,1.0,max,max,0.6009295612172765,0.5927034167706278,0.8928948647048263
dur_1.0_mean,1.0,mean,mean,0.581914661643712,0.5729679059304179,0.8974049520242224
dur_2.0_attention,2.0,attention,heuristic_attention,0.5926429303858082,0.5838232576487056,0.9011665704370178
dur_2.0_max,2.0,max,max,0.6104374469083446,0.6024957679528351,0.9024568882080888
dur_2.0_mean,2.0,mean,mean,0.5928542945015538,0.5838600993498239,0.9016991922509905
dur_4.0_attention,4.0,attention,heuristic_attention,0.5940447406413754,0.5851788429859794,0.9011698809149317
dur_4.0_max,4.0,max,max,0.6229058107027106,0.6146011861416439,0.9065221671021046
dur_4.0_mean,4.0,mean,mean,0.5948322759707789,0.5858930724548838,0.9018910865527432
dur_8.0_attention,8.0,attention,heuristic_attention,0.5910109438546969,0.5821376224642854,0.8999674501513255
dur_8.0_max,8.0,max,max,0.6208038822438362,0.6125102623049112,0.9085768716574569
dur_8.0_mean,8.0,mean,mean,0.5918400736120099,0.5827859690557594,0.9006852275574974
