setting,duration,pooling,pooling_display,tag,ap,pr_auc,roc_auc,support_pos_eval,train_count,setting_display
dur_0.5_attention,0.5,attention,heuristic_attention,ambient,0.6592819255986273,0.6569172526253062,0.8781563336658093,86,1506,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,ambient,0.6585537160160961,0.653876989446278,0.8726704813900993,86,1506,0.5s_max
dur_0.5_mean,0.5,mean,mean,ambient,0.648835076280033,0.6463760431499816,0.8746390886660718,86,1506,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,ambient,0.7999063273647231,0.7975967826350309,0.9433566066460182,86,1506,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,ambient,0.7696598508235513,0.7672672271740845,0.9331985931020002,86,1506,1.0s_max
dur_1.0_mean,1.0,mean,mean,ambient,0.7984226728501034,0.7961678647236865,0.9434091028400441,86,1506,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,ambient,0.8190954151642331,0.8167955911571008,0.9526221848915953,86,1506,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,ambient,0.8081880969659835,0.8061127849426033,0.9442227938474459,86,1506,2.0s_max
dur_2.0_mean,2.0,mean,mean,ambient,0.8189207256265132,0.8168348180404191,0.9534883720930232,86,1506,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,ambient,0.8229516095973642,0.8207212400718992,0.9554044831749698,86,1506,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,ambient,0.8236957640191347,0.8221037874836203,0.9530421544438028,86,1506,4.0s_max
dur_4.0_mean,4.0,mean,mean,ambient,0.8237177599288161,0.8215556693412177,0.9567693842196442,86,1506,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,ambient,0.8249174963472137,0.8226281024557778,0.9559294451152291,86,1506,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,ambient,0.8459812316234742,0.8443503397935785,0.9622027403013282,86,1506,8.0s_max
dur_8.0_mean,8.0,mean,mean,ambient,0.8264447710569894,0.8238158036563321,0.957661819518085,86,1506,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,beat,0.6863534325957679,0.6797641616185714,0.933836777954425,85,1554,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,beat,0.6671674541577731,0.6586390160233624,0.9126391096979332,85,1554,0.5s_max
dur_0.5_mean,0.5,mean,mean,beat,0.6819024575067112,0.6756758855295384,0.93232644409115,85,1554,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,beat,0.7198983824942706,0.7144042800756917,0.9447270800211978,85,1554,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,beat,0.7444908639368891,0.7421658690570891,0.9355325914149444,85,1554,1.0s_max
dur_1.0_mean,1.0,mean,mean,beat,0.7177842426836214,0.7120291567518064,0.9450185479597243,85,1554,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,beat,0.7253802247908894,0.7193307188317413,0.9465818759936406,85,1554,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,beat,0.7872432136529721,0.7857842257176741,0.9442766295707472,85,1554,2.0s_max
dur_2.0_mean,2.0,mean,mean,beat,0.7253437385036031,0.7196030629918353,0.9469528351881293,85,1554,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,beat,0.7285522925946449,0.7231835637751127,0.9471383147853736,85,1554,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,beat,0.7955697534178272,0.793580876590051,0.9533386327503974,85,1554,4.0s_max
dur_4.0_mean,4.0,mean,mean,beat,0.7284959624518064,0.7226532235113088,0.9478007419183889,85,1554,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,beat,0.729659809446974,0.7240519736623474,0.9471913089560149,85,1554,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,beat,0.7905945540327367,0.7886319270726827,0.954398516163222,85,1554,8.0s_max
dur_8.0_mean,8.0,mean,mean,beat,0.7289878619302932,0.7233439148355142,0.9475357710651828,85,1554,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,beats,0.4492594345776364,0.4253352483581067,0.9315439672801635,40,519,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,beats,0.4503123188433388,0.43092479724267563,0.9131390593047034,40,519,0.5s_max
dur_0.5_mean,0.5,mean,mean,beats,0.45045682396642645,0.4308161306598548,0.9311349693251534,40,519,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,beats,0.4588227877900994,0.43854841064820843,0.934560327198364,40,519,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,beats,0.4792369367698337,0.46118788454913745,0.9209100204498978,40,519,1.0s_max
dur_1.0_mean,1.0,mean,mean,beats,0.4576141087438902,0.4391211639775089,0.9355828220858896,40,519,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,beats,0.4621757178725344,0.4424874409870666,0.9346114519427403,40,519,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,beats,0.4896918550860716,0.4728608066493481,0.9238241308793456,40,519,2.0s_max
dur_2.0_mean,2.0,mean,mean,beats,0.46330805906160333,0.4420406787846373,0.9348670756646217,40,519,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,beats,0.4574920675420703,0.4371749044545226,0.933997955010225,40,519,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,beats,0.5072607401285103,0.4854614259740517,0.9330777096114519,40,519,4.0s_max
dur_4.0_mean,4.0,mean,mean,beats,0.4623931183528448,0.4436645572091031,0.9350715746421268,40,519,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,beats,0.45766305501893423,0.43991276967343823,0.9326175869120654,40,519,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,beats,0.49207495414675406,0.4739886394011484,0.9348159509202454,40,519,8.0s_max
dur_8.0_mean,8.0,mean,mean,beats,0.4618131237986082,0.4437273325646874,0.9343558282208588,40,519,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,cello,0.5585989919667518,0.5456779541240616,0.9456951366214126,23,478,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,cello,0.5793675111122786,0.5629256761975044,0.9451795841209829,23,478,0.5s_max
dur_0.5_mean,0.5,mean,mean,cello,0.5690956965954137,0.5593782288904547,0.9450936587042448,23,478,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,cello,0.6354984176374513,0.6239126122076392,0.9651142808042619,23,478,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,cello,0.7178471385300028,0.7041181790189476,0.9737927478948273,23,478,1.0s_max
dur_1.0_mean,1.0,mean,mean,cello,0.6468011383078747,0.6337403379398694,0.965801684138168,23,478,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,cello,0.6323199224404553,0.6197927291910277,0.963911324969926,23,478,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,cello,0.6929550411722813,0.6763720058010668,0.9729334937274445,23,478,2.0s_max
dur_2.0_mean,2.0,mean,mean,cello,0.6350108604062037,0.6216031563990791,0.9646846537205706,23,478,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,cello,0.6227080179631359,0.6073486010096996,0.9628802199690669,23,478,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,cello,0.6707563404394734,0.6594436510023045,0.9664031620553359,23,478,4.0s_max
dur_4.0_mean,4.0,mean,mean,cello,0.6264973605581527,0.6202579950835552,0.963567623302973,23,478,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,cello,0.6258159978802534,0.6149796546507192,0.9628802199690669,23,478,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,cello,0.6521706000956988,0.6410007786718104,0.9598728303832273,23,478,8.0s_max
dur_8.0_mean,8.0,mean,mean,cello,0.6248565138441192,0.613252183411132,0.9627942945523286,23,478,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,choir,0.8551020003236187,0.8484271580546865,0.9688057040998218,34,530,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,choir,0.8674015857005738,0.8593745084700534,0.9705882352941176,34,530,0.5s_max
dur_0.5_mean,0.5,mean,mean,choir,0.8555442785542199,0.8500594323351337,0.9694592988710635,34,530,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,choir,0.8578786294492212,0.8524223790692803,0.9685680332739156,34,530,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,choir,0.8566719765238732,0.8519139774214952,0.9613784907902555,34,530,1.0s_max
