tag,support_pos_eval,ap_clean,pr_auc_clean,roc_auc_clean,ap_noise_snr20,pr_auc_noise_snr20,roc_auc_noise_snr20,ap_time_stretch_1p1,pr_auc_time_stretch_1p1,roc_auc_time_stretch_1p1,ap_compression_gamma0p6,pr_auc_compression_gamma0p6,roc_auc_compression_gamma0p6,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop
female,74,0.7008855267868918,0.6910694769498357,0.9367686367686368,0.5388697798767903,0.5285612838895443,0.8803979803979805,0.6410479384525098,0.6312491781370018,0.9237600237600238,0.5539063697871582,0.5439236719606595,0.8912681912681912,0.16201574691010145,0.05983758833438191,0.14697915699973352,0.12294416408140563
male voice,43,0.4903772715083013,0.4731907920086354,0.9236290554120012,0.3586815767292639,0.3523846407866213,0.8899894726768112,0.43605712524528284,0.41726251329506503,0.913006029285099,0.34574061808130596,0.3289820066464381,0.8857306919322423,0.13169569477903742,0.054320146263018454,0.14463665342699533,0.1102174981563504
male vocal,55,0.5644595964369691,0.5506370292368915,0.914614499424626,0.4364832690629245,0.42526419491411105,0.8877637130801688,0.4989848342798086,0.4840118711539318,0.9018411967779056,0.4446884622815947,0.43603394633726006,0.8749136939010358,0.12797632737404457,0.06547476215716047,0.11977113415537438,0.10440740789552648
female voice,35,0.3963714363000227,0.37833678825266503,0.9329091960670908,0.2952630616298224,0.2766781255632359,0.8909196067090803,0.3321628493182564,0.3135890052425085,0.9206477732793521,0.2599704757632714,0.2439858739526538,0.8819548872180452,0.10110837467020029,0.06420858698176629,0.13640096053675127,0.10057264072957262
woman,53,0.49536505873368614,0.48186656832390296,0.9192563817980022,0.3738651711691119,0.3600671493121838,0.8606310448707785,0.45173234027577625,0.4374913210923294,0.9040351989852544,0.3741398143563993,0.3574291377736756,0.8710559695576344,0.12149988756457425,0.04363271845790989,0.12122524437728682,0.09545261679992366
female vocal,44,0.4621501823587024,0.44764343212869123,0.9021087160262418,0.3666733538616592,0.3527962251732004,0.8764761012183693,0.39755138587990835,0.38172420594759493,0.8910965323336457,0.34480714183996597,0.3301357314268848,0.8757263355201499,0.0954768284970432,0.06459879647879407,0.11734304051873645,0.09247288849819124
ambient,86,0.8238517363293956,0.8215628597178453,0.956086933697307,0.7345850242951761,0.7325885165887145,0.9164785553047404,0.8116981183845778,0.8098470956969179,0.9470050921308206,0.6482453515142079,0.6463541530755809,0.8829072392251562,0.08926671203421943,0.01215361794481773,0.17560638481518764,0.0923422382647416
sitar,26,0.4660738199763674,0.4562278817334432,0.9209359229239944,0.39713453365198803,0.3824812910130757,0.8868328490594892,0.37910649403298696,0.3633515990042672,0.9019727787123414,0.3688361234711221,0.3371930530534527,0.8617525615537545,0.06893928632437935,0.08696732594338041,0.09723769650524527,0.08438143625766835
quiet,71,0.5287922917585888,0.5244878582069555,0.8490374561781168,0.4377257417223956,0.4319783957753263,0.8415031674764746,0.5124759824823616,0.5097619999064238,0.8425487422350698,0.3847463163648801,0.37715270717471067,0.8200688849252722,0.09106655003619318,0.01631630927622718,0.14404597539370867,0.08380961156870968
soft,74,0.39848864226439734,0.3881403159007749,0.8233739233739235,0.2991825822802476,0.2895096624767096,0.785981585981586,0.38712707417715375,0.37876497557865346,0.8196020196020196,0.26979503686010065,0.2633388782884073,0.7695277695277696,0.09930605998414976,0.01136156808724359,0.1286936054042967,0.07978707782523002
male,73,0.5827509742232836,0.5729725638903789,0.933549627493391,0.5019305396478257,0.4899340222107561,0.9137527036770008,0.5398803222998728,0.5280160381095427,0.921773612112473,0.4832759820711824,0.47196570978106916,0.9061824080749818,0.08082043457545784,0.042870651923410774,0.0994749921521012,0.07438869288365661
