tag,support_pos_train,co_occurrence_degree,co_occurrence_entropy,tag_group,train_count,val_count,test_count
male vocal,803,8,0.7964453,vocal,803,107,92
man,595,8,0.7911961,vocal,595,86,60
male,1032,7,0.82262015,vocal,1032,136,111
male voice,527,7,0.8056211,vocal,527,59,58
female voice,409,7,0.8229964,vocal,409,50,46
beats,519,6,0.7552903,production,519,67,48
woman,818,6,0.8161085,vocal,818,109,89
singing,982,6,0.8684804,vocal,982,131,98
voice,542,6,0.8951181,vocal,542,61,62
soft,787,5,0.8565686,mood,787,97,101
dance,521,5,0.6949279,genre,521,71,57
female vocal,525,5,0.8127222,vocal,525,56,63
solo,690,5,0.7712539,production,690,65,71
quiet,839,5,0.8325073,mood,839,115,101
female,1196,5,0.8448109,vocal,1196,148,130
harp,513,5,0.71908414,instrument,513,50,60
vocals,957,5,0.8877868,vocal,957,126,101
pop,792,5,0.85083604,genre,792,100,103
classic,567,4,0.71813536,genre,567,53,71
new age,513,4,0.83303297,genre,513,76,61
weird,447,4,0.84667206,other,447,53,57
synth,1369,4,0.79188913,instrument,1369,175,173
vocal,1401,4,0.8812462,vocal,1401,177,151
cello,478,4,0.6294229,instrument,478,48,49
beat,1554,4,0.79348505,production,1554,206,146
techno,2380,4,0.76400864,genre,2380,307,267
strings,2176,4,0.7893354,instrument,2176,234,319
electronic,2050,4,0.79458475,genre,2050,270,199
opera,1040,3,0.79049045,genre,1040,136,120
metal,407,3,0.60676146,genre,407,51,47
choir,530,3,0.6958577,vocal,530,89,69
choral,387,3,0.65946376,vocal,387,64,39
fast,1882,3,0.86031854,mood,1882,228,196
no vocals,932,3,0.86505413,vocal,932,118,108
no vocal,805,3,0.869726,vocal,805,103,87
ambient,1506,3,0.82475495,genre,1506,206,244
loud,881,3,0.8391035,mood,881,94,111
no voice,465,2,0.86837983,vocal,465,57,51
flute,814,2,0.8124808,instrument,814,120,91
sitar,745,2,0.6959652,instrument,745,131,50
classical,3501,2,0.80903363,genre,3501,365,406
harpsichord,915,2,0.6883766,instrument,915,77,101
indian,1124,2,0.82341295,genre,1124,155,116
violin,1483,2,0.7441297,instrument,1483,136,207
piano,1694,2,0.82710904,instrument,1694,184,178
rock,1893,2,0.80628467,genre,1893,224,254
drums,2069,2,0.87281346,instrument,2069,274,255
slow,2816,2,0.91064155,mood,2816,371,360
country,421,1,0.77005893,genre,421,60,60
guitar,3829,0,0.90390754,instrument,3829,513,510
