tag,tag_group,train_count,val_count,test_count,ap,pr_auc,roc_auc,best_duration,best_pooling,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop,co_occurrence_degree,co_occurrence_entropy,max_prevalence_shift,duration_gain_long_short,inferred_failure_reason
no voice,vocal,465,57,51,0.155475504861189,0.1375074138418795,0.6656399726214921,0.5,mean,0.0323477504652112,0.012101303626955,0.0260368567154312,0.0234953036025325,2,0.86837983,0.08638060098051714,-0.015802107164029994,cooccurrence_ambiguity
no vocal,vocal,805,103,87,0.264521643608041,0.2540064347923402,0.7148898678414097,4.0,max,0.0208645591257378,0.0076304441872925,0.0290613378497308,0.0191854470542537,3,0.869726,0.09973273960739393,0.026481138893809375,cooccurrence_ambiguity
voice,vocal,542,61,62,0.2810581864886732,0.2658212536811391,0.8137787056367433,0.5,max,0.0203732243441436,0.0132488421196651,0.0151708844359565,0.0162643169665884,6,0.8951181,0.09750243387635926,0.08648879370681142,cooccurrence_ambiguity;context_length_dependence
no vocals,vocal,932,118,108,0.3384308341362671,0.3277997449856072,0.752163963784698,8.0,max,0.0050417254346413,-0.0005070346758999,0.0588109802053068,0.0211152236546827,3,0.86505413,0.03471419387347208,0.06812722424305084,cooccurrence_ambiguity
weird,other,447,53,57,0.363583895232304,0.3468572925821394,0.866383103549428,1.0,max,-0.0073733509698832,-0.0153462615287707,0.0456942161355476,0.0076582012122978,4,0.84667206,0.062222257216090426,0.010130958305545501,cooccurrence_ambiguity
solo,production,690,65,71,0.3848938795636371,0.3739936872998228,0.8283341396548943,4.0,max,0.0480876788421923,-0.0069573482269246,0.0288182025778428,0.0233161777310368,5,0.7712539,0.2445951363708131,0.08792065530998533,cooccurrence_ambiguity;context_length_dependence
soft,mood,787,97,101,0.4282964931695289,0.4215452210174096,0.8353430353430353,8.0,max,0.0993060599841497,0.0113615680872435,0.1286936054042967,0.07978707782523,5,0.8565686,0.06904185659367723,0.05713565436464679,cooccurrence_ambiguity
sitar,instrument,745,131,50,0.4701064245587416,0.4586343202303375,0.9223122801651628,2.0,attention,0.0689392863243793,0.0869673259433804,0.0972376965052452,0.0843814362576683,2,0.6959652,0.44093554129197166,0.0570043754399881,split_shift;robustness_fragility
new age,genre,513,76,61,0.4736692759762315,0.4568248313151614,0.9260330578512396,8.0,max,-0.0089164764184601,-0.0078176994528714,-0.0231206453846984,-0.0132849404186766,4,0.83303297,0.1879869792656359,0.003459587464067493,cooccurrence_ambiguity
harp,instrument,513,50,60,0.4848941487364874,0.4736434437451414,0.9295492324239756,8.0,max,-0.0645948963269368,0.0145616450024362,-0.0017819098546579,-0.0172717203930528,5,0.71908414,0.21842950580275722,0.10877637331686302,context_length_dependence
vocals,vocal,957,126,101,0.4894650129965524,0.4854934669535942,0.8509352852329499,0.5,max,0.0458462817183057,0.0235782324858279,0.0804930732098385,0.0499725291379907,5,0.8877868,0.1208610518842661,0.0631579495507737,cooccurrence_ambiguity
female voice,vocal,409,50,46,0.4945775858930195,0.4811604080483833,0.9330248698669752,1.0,max,0.1011083746702002,0.0642085869817662,0.1364009605367512,0.1005726407295726,7,0.8229964,0.06312292932988484,0.15005928023421372,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
beats,production,519,67,48,0.5072607401285103,0.4854614259740517,0.933077709611452,4.0,max,-0.0019440252261681,0.0045116284436327,-0.0260315929486637,-0.0078213299103997,6,0.7552903,0.2295898496819666,0.04161813018032762,cooccurrence_ambiguity
country,genre,421,60,60,0.5346026061183654,0.5173622859361419,0.9588829471182412,4.0,attention,0.0401536614874623,0.0003848887927728,0.0107501621835626,0.0170962374879325,1,0.77005893,0.18718172113956322,0.04710043973100264,cooccurrence_ambiguity
quiet,mood,839,115,101,0.5390236594221254,0.5352313564701495,0.8510055969001784,4.0,attention,0.0910665500361931,0.0163163092762271,0.1440459753937086,0.0838096115687096,5,0.8325073,0.0991357855600905,0.027855809143517818,cooccurrence_ambiguity;robustness_fragility
classic,genre,567,53,71,0.5560891454848497,0.5470346307203496,0.917409307768476,8.0,max,0.0479937468879388,0.0072560991779521,0.0374858995428561,0.0309119152029156,4,0.71813536,0.2504366727685122,0.12759128157705996,context_length_dependence
indian,genre,1124,155,116,0.5645583261602398,0.5600620648679377,0.8877834152528936,4.0,max,0.0265192224117442,0.0385347907551887,0.0902987011153371,0.05178423809409,2,0.82341295,0.14031418084301406,0.02365376120234597,cooccurrence_ambiguity
male voice,vocal,527,59,58,0.5783743143803685,0.5731576816835269,0.9155421571442244,2.0,max,0.1316956947790374,0.0543201462630184,0.1446366534269953,0.1102174981563504,7,0.8056211,0.10224695145240648,0.2912683420925887,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
female vocal,vocal,525,56,63,0.5865815963580546,0.5782440186592166,0.917900656044986,1.0,max,0.0954768284970432,0.064598796478794,0.1173430405187364,0.0924728884981912,5,0.8127222,0.1446492834526385,0.12046137339269403,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
pop,genre,792,100,103,0.6055927633472973,0.5982893579850399,0.9001551545799333,2.0,attention,0.0124333984893432,0.0014133392089907,0.0739989565175566,0.0292818980719635,5,0.85083604,0.08332835428589225,-0.009135208789582627,cooccurrence_ambiguity
man,vocal,595,86,60,0.6102263515737483,0.6049618345795612,0.9224517906336088,4.0,max,0.0932228044286347,0.0513774956398138,0.0772734330487446,0.0739579110390644,8,0.7911961,0.1599940109567054,0.1814199313986652,cooccurrence_ambiguity;context_length_dependence
woman,vocal,818,109,89,0.6117719069990233,0.6006238134625022,0.9395512922149992,1.0,max,0.1214998875645742,0.0436327184579098,0.1212252443772868,0.0954526167999236,6,0.8161085,0.0936732744907639,0.1417353737535288,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
flute,instrument,814,120,91,0.6188674759629297,0.6131214584700885,0.8817331530313275,8.0,attention,0.0324660614139969,0.0053377035819621,0.1419141679241893,0.0599059776400495,2,0.8124808,0.18214922930416444,0.06727738507780379,cooccurrence_ambiguity
singing,vocal,982,131,98,0.6396421530816813,0.6368276488380639,0.9003321237468479,0.5,max,0.0475764266215275,0.0344443511521754,0.0756451105283115,0.0525552961006715,6,0.8684804,0.16869062663812173,0.14988162911650427,cooccurrence_ambiguity;context_length_dependence
