tag,tag_group,train_count,val_count,test_count,ap,pr_auc,roc_auc,best_duration,best_pooling,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop,co_occurrence_degree,co_occurrence_entropy,max_prevalence_shift,duration_gain_long_short,inferred_failure_reason
no voice,vocal,465,57,51,0.155475504861189,0.1375074138418795,0.6656399726214921,0.5,mean,0.0323477504652112,0.012101303626955,0.0260368567154312,0.0234953036025325,2,0.86837983,0.08638060098051714,-0.015802107164029994,cooccurrence_ambiguity
no vocal,vocal,805,103,87,0.264521643608041,0.2540064347923402,0.7148898678414097,4.0,max,0.0208645591257378,0.0076304441872925,0.0290613378497308,0.0191854470542537,3,0.869726,0.09973273960739393,0.026481138893809375,cooccurrence_ambiguity
voice,vocal,542,61,62,0.2810581864886732,0.2658212536811391,0.8137787056367433,0.5,max,0.0203732243441436,0.0132488421196651,0.0151708844359565,0.0162643169665884,6,0.8951181,0.09750243387635926,0.08648879370681142,cooccurrence_ambiguity;context_length_dependence
no vocals,vocal,932,118,108,0.3384308341362671,0.3277997449856072,0.752163963784698,8.0,max,0.0050417254346413,-0.0005070346758999,0.0588109802053068,0.0211152236546827,3,0.86505413,0.03471419387347208,0.06812722424305084,cooccurrence_ambiguity
weird,other,447,53,57,0.363583895232304,0.3468572925821394,0.866383103549428,1.0,max,-0.0073733509698832,-0.0153462615287707,0.0456942161355476,0.0076582012122978,4,0.84667206,0.062222257216090426,0.010130958305545501,cooccurrence_ambiguity
solo,production,690,65,71,0.3848938795636371,0.3739936872998228,0.8283341396548943,4.0,max,0.0480876788421923,-0.0069573482269246,0.0288182025778428,0.0233161777310368,5,0.7712539,0.2445951363708131,0.08792065530998533,cooccurrence_ambiguity;context_length_dependence
soft,mood,787,97,101,0.4282964931695289,0.4215452210174096,0.8353430353430353,8.0,max,0.0993060599841497,0.0113615680872435,0.1286936054042967,0.07978707782523,5,0.8565686,0.06904185659367723,0.05713565436464679,cooccurrence_ambiguity
sitar,instrument,745,131,50,0.4701064245587416,0.4586343202303375,0.9223122801651628,2.0,attention,0.0689392863243793,0.0869673259433804,0.0972376965052452,0.0843814362576683,2,0.6959652,0.44093554129197166,0.0570043754399881,split_shift;robustness_fragility
new age,genre,513,76,61,0.4736692759762315,0.4568248313151614,0.9260330578512396,8.0,max,-0.0089164764184601,-0.0078176994528714,-0.0231206453846984,-0.0132849404186766,4,0.83303297,0.1879869792656359,0.003459587464067493,cooccurrence_ambiguity
harp,instrument,513,50,60,0.4848941487364874,0.4736434437451414,0.9295492324239756,8.0,max,-0.0645948963269368,0.0145616450024362,-0.0017819098546579,-0.0172717203930528,5,0.71908414,0.21842950580275722,0.10877637331686302,context_length_dependence
vocals,vocal,957,126,101,0.4894650129965524,0.4854934669535942,0.8509352852329499,0.5,max,0.0458462817183057,0.0235782324858279,0.0804930732098385,0.0499725291379907,5,0.8877868,0.1208610518842661,0.0631579495507737,cooccurrence_ambiguity
female voice,vocal,409,50,46,0.4945775858930195,0.4811604080483833,0.9330248698669752,1.0,max,0.1011083746702002,0.0642085869817662,0.1364009605367512,0.1005726407295726,7,0.8229964,0.06312292932988484,0.15005928023421372,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
