experiment_name,task,representation,model,duration,pooling,split,metric_name,metric_value,condition
mtat_cnn_logmel,mtat,logmel,ShortChunkCNN,3.0,chunk_train_eval,val,map,0.408214029916143,
mtat_cnn_logmel,mtat,logmel,ShortChunkCNN,3.0,chunk_train_eval,val,macro_pr_auc,0.4030204691824259,
mtat_cnn_logmel,mtat,logmel,ShortChunkCNN,3.0,chunk_train_eval,val,macro_roc_auc,0.8788669374339473,
mtat_cnn_logmel,mtat,logmel,ShortChunkCNN,3.0,chunk_train_eval,val,loss,0.1542610222501541,
mtat_cnn_waveform,mtat,waveform,WaveformCNN,3.0,chunk_train_eval,val,map,0.2550052024441445,
mtat_cnn_waveform,mtat,waveform,WaveformCNN,3.0,chunk_train_eval,val,macro_pr_auc,0.2496938391662646,
mtat_cnn_waveform,mtat,waveform,WaveformCNN,3.0,chunk_train_eval,val,macro_roc_auc,0.7911805406541913,
mtat_cnn_waveform,mtat,waveform,WaveformCNN,3.0,chunk_train_eval,val,loss,0.1894444329525108,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,heuristic_attention,test,map,0.5397465425907669,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,heuristic_attention,test,macro_pr_auc,0.5304589658972183,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,heuristic_attention,test,macro_roc_auc,0.8797903935865109,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,max,test,map,0.5524550898601874,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,max,test,macro_pr_auc,0.5438541329292689,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,max,test,macro_roc_auc,0.8720961110134918,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,mean,test,map,0.5401872557828047,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,mean,test,macro_pr_auc,0.5310909646973616,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,0.5,mean,test,macro_roc_auc,0.8798616137925299,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,heuristic_attention,test,map,0.5815505020106666,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,heuristic_attention,test,macro_pr_auc,0.572443275705502,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,heuristic_attention,test,macro_roc_auc,0.897057638455105,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,max,test,map,0.6009295612172765,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,max,test,macro_pr_auc,0.5927034167706278,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,max,test,macro_roc_auc,0.8928948647048263,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,mean,test,map,0.581914661643712,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,mean,test,macro_pr_auc,0.5729679059304179,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,1.0,mean,test,macro_roc_auc,0.8974049520242224,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,heuristic_attention,test,map,0.5926429303858082,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,heuristic_attention,test,macro_pr_auc,0.5838232576487056,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,heuristic_attention,test,macro_roc_auc,0.9011665704370178,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,max,test,map,0.6104374469083446,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,max,test,macro_pr_auc,0.6024957679528351,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,max,test,macro_roc_auc,0.9024568882080888,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,mean,test,map,0.5928542945015538,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,mean,test,macro_pr_auc,0.5838600993498239,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,2.0,mean,test,macro_roc_auc,0.9016991922509904,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,heuristic_attention,test,map,0.5940447406413754,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,heuristic_attention,test,macro_pr_auc,0.5851788429859794,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,heuristic_attention,test,macro_roc_auc,0.9011698809149316,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,max,test,map,0.6229058107027106,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,max,test,macro_pr_auc,0.6146011861416439,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,max,test,macro_roc_auc,0.9065221671021046,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,mean,test,map,0.5948322759707789,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,mean,test,macro_pr_auc,0.5858930724548838,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,4.0,mean,test,macro_roc_auc,0.9018910865527432,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,heuristic_attention,test,map,0.5910109438546969,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,heuristic_attention,test,macro_pr_auc,0.5821376224642854,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,heuristic_attention,test,macro_roc_auc,0.8999674501513255,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,max,test,map,0.6208038822438362,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,max,test,macro_pr_auc,0.6125102623049112,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,max,test,macro_roc_auc,0.9085768716574568,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,mean,test,map,0.5918400736120099,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,mean,test,macro_pr_auc,0.5827859690557594,
mtat_cnn_logmel_duration_pooling,mtat,logmel,ShortChunkCNN,8.0,mean,test,macro_roc_auc,0.9006852275574974,
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,map,0.5950453399424316,clean
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_pr_auc,0.5859730147874181,clean
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_roc_auc,0.9019607042257548,clean
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,map,0.5478617322503446,noise_snr20
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_pr_auc,0.5395797050779674,noise_snr20
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_roc_auc,0.8801611925791331,noise_snr20
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,map,0.5755427675062064,time_stretch_1p1
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_pr_auc,0.5663645105047193,time_stretch_1p1
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_roc_auc,0.8949992934295661,time_stretch_1p1
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,map,0.5275899495077669,compression_gamma0p6
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_pr_auc,0.5186834659260844,compression_gamma0p6
mtat_cnn_logmel_robustness,mtat,logmel,ShortChunkCNN,3.0,mean,test,macro_roc_auc,0.8688536665709001,compression_gamma0p6
mtat_pretrained_panns,mtat,pretrained_embedding,PANNs+LogReg,,embedding_head,val,map,0.4706408936806771,
mtat_pretrained_panns,mtat,pretrained_embedding,PANNs+LogReg,,embedding_head,val,macro_pr_auc,0.46572583238288456,
mtat_pretrained_panns,mtat,pretrained_embedding,PANNs+LogReg,,embedding_head,val,macro_roc_auc,0.9109356412503703,
mtat_pretrained_panns,mtat,pretrained_embedding,PANNs+LogReg,,embedding_head,test,map,0.4508879599507039,
mtat_pretrained_panns,mtat,pretrained_embedding,PANNs+LogReg,,embedding_head,test,macro_pr_auc,0.44481918912076146,
mtat_pretrained_panns,mtat,pretrained_embedding,PANNs+LogReg,,embedding_head,test,macro_roc_auc,0.9060420441319372,
gtzan_transfer_probe,gtzan,mtat_encoder_embedding,ShortChunkCNN(frozen)+LogReg,3.0,feature_mean,val,accuracy,0.75,
gtzan_random_probe,gtzan,random_encoder_embedding,ShortChunkCNN(random)+LogReg,3.0,feature_mean,val,accuracy,0.19,
gtzan_transfer_probe,gtzan,mtat_encoder_embedding,ShortChunkCNN(frozen)+LogReg,3.0,feature_mean,val,balanced_accuracy,0.75,
gtzan_random_probe,gtzan,random_encoder_embedding,ShortChunkCNN(random)+LogReg,3.0,feature_mean,val,balanced_accuracy,0.19,
gtzan_transfer_probe,gtzan,mtat_encoder_embedding,ShortChunkCNN(frozen)+LogReg,3.0,feature_mean,val,macro_f1,0.751815143920407,
gtzan_random_probe,gtzan,random_encoder_embedding,ShortChunkCNN(random)+LogReg,3.0,feature_mean,val,macro_f1,0.07704106280193238,
gtzan_transfer_probe,gtzan,mtat_encoder_embedding,ShortChunkCNN(frozen)+LogReg,3.0,feature_mean,test,accuracy,0.73,
gtzan_random_probe,gtzan,random_encoder_embedding,ShortChunkCNN(random)+LogReg,3.0,feature_mean,test,accuracy,0.21,
gtzan_transfer_probe,gtzan,mtat_encoder_embedding,ShortChunkCNN(frozen)+LogReg,3.0,feature_mean,test,balanced_accuracy,0.73,
gtzan_random_probe,gtzan,random_encoder_embedding,ShortChunkCNN(random)+LogReg,3.0,feature_mean,test,balanced_accuracy,0.21000000000000002,
gtzan_transfer_probe,gtzan,mtat_encoder_embedding,ShortChunkCNN(frozen)+LogReg,3.0,feature_mean,test,macro_f1,0.7232469707944198,
gtzan_random_probe,gtzan,random_encoder_embedding,ShortChunkCNN(random)+LogReg,3.0,feature_mean,test,macro_f1,0.08818407960199005,
